Filename, Label
1.png,A
2.png,L
3.png,K
4.png,0
5.png,6
6.png,9
7.png,1
8.png,7
9.png,9
10.png,6
11.png,1
12.png,P
13.png,8
14.png,Z
15.png,1
16.png,9
17.png,2
18.png,6
19.png,5
20.png,1
21.png,A
22.png,B
23.png,N
24.png,3
25.png,1
26.png,5
27.png,8
28.png,A
29.png,R
30.png,Q
31.png,6
32.png,6
33.png,3
34.png,2
35.png,8
36.png,N
37.png,4
38.png,2
39.png,2
40.png,8
41.png,5
42.png,5
43.png,2
44.png,8
45.png,V
46.png,W
47.png,A
48.png,S
49.png,N
50.png,1
51.png,1
52.png,5
53.png,2
54.png,A
55.png,T
56.png,U
57.png,2
58.png,6
59.png,9
60.png,1
61.png,A
62.png,L
63.png,F
64.png,B
65.png,1
66.png,9
67.png,9
68.png,1
69.png,1
70.png,9
71.png,5
72.png,Z
73.png,6
74.png,2
75.png,0
76.png,0
77.png,P
78.png,A
79.png,Q
80.png,T
81.png,9
82.png,0
83.png,7
84.png,2
85.png,A
86.png,H
87.png,A
88.png,B
89.png,0
90.png,6
91.png,6
92.png,6
93.png,0
94.png,6
95.png,9
96.png,K
97.png,C
98.png,9
99.png,E
100.png,7
101.png,1
102.png,6
103.png,1
104.png,0
105.png,3
106.png,1
107.png,5
108.png,M
109.png,T
110.png,5
111.png,H
112.png,8
113.png,4
114.png,3
115.png,0
116.png,A
117.png,H
118.png,A
119.png,5
120.png,3
121.png,3
122.png,0
123.png,A
124.png,V
125.png,D
126.png,5
127.png,1
128.png,0
129.png,8
130.png,U
131.png,5
132.png,2
133.png,2
134.png,6
135.png,3
136.png,6
137.png,0
138.png,6
139.png,8
140.png,Y
141.png,K
142.png,8
143.png,6
144.png,9
145.png,0
146.png,E
147.png,V
148.png,4
149.png,6
150.png,1
151.png,5
152.png,Z
153.png,R
154.png,A
155.png,3
156.png,8
157.png,2
158.png,5
159.png,S
160.png,6
161.png,6
162.png,7
163.png,9
164.png,9
165.png,F
166.png,V
167.png,A
168.png,B
169.png,G
170.png,6
171.png,6
172.png,2
173.png,1
174.png,C
175.png,N
176.png,0
177.png,8
178.png,8
179.png,6
180.png,A
181.png,R
182.png,M
183.png,6
184.png,9
185.png,0
186.png,7
187.png,A
188.png,W
189.png,Y
190.png,8
191.png,6
192.png,2
193.png,5
194.png,A
195.png,Y
196.png,L
197.png,Z
198.png,3
199.png,5
200.png,3
201.png,A
202.png,N
203.png,U
204.png,0
205.png,9
206.png,8
207.png,6
208.png,A
209.png,S
210.png,T
211.png,3
212.png,0
213.png,1
214.png,7
215.png,A
216.png,W
217.png,J
218.png,1
219.png,7
220.png,5
221.png,7
222.png,6
223.png,4
224.png,5
225.png,1
226.png,M
227.png,X
228.png,A
229.png,U
